2024-03-18 12:38:07,700 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-03-18 12:38:07,726 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-03-18 12:38:07,727 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-03-18 12:38:07,727 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-03-18 12:38:07,743 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-03-18 12:38:07,743 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-03-18 12:38:07,744 INFO  SwAddin.cs: 201 - Setting up command manager
2024-03-18 12:38:07,744 INFO  SwAddin.cs: 204 - Adding command manager
2024-03-18 12:38:07,746 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-03-18 12:38:07,748 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-03-18 12:38:07,748 INFO  SwAddin.cs: 210 - Adding event handlers
2024-03-18 12:38:07,875 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-03-18 12:43:40,220 INFO  SwAddin.cs: 294 - Assembly export called for file arn.SLDASM
2024-03-18 12:43:40,222 INFO  SwAddin.cs: 299 - Save is required
2024-03-18 12:43:40,222 INFO  SwAddin.cs: 313 - Saving assembly
2024-03-18 12:43:41,085 INFO  SwAddin.cs: 316 - Opening property manager
2024-03-18 12:43:41,092 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from arn.SLDASM
2024-03-18 12:43:41,095 INFO  ExportHelperExtension.cs: 1136 - Found 379 in arn.SLDASM
2024-03-18 12:43:41,097 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [CoordSys] in arn.SLDASM
2024-03-18 12:43:41,097 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-03-18 12:43:41,098 INFO  ExportHelperExtension.cs: 1160 - 108 components to check
2024-03-18 12:43:41,098 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from µ××ùÁ¬½Ó¼þ-1
2024-03-18 12:43:41,098 INFO  ExportHelperExtension.cs: 1136 - Found 34 in µ××ùÁ¬½Ó¼þ-1
2024-03-18 12:43:41,100 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in µ××ùÁ¬½Ó¼þ-1
2024-03-18 12:43:41,100 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from RU42-XRU2012-1
2024-03-18 12:43:41,100 INFO  ExportHelperExtension.cs: 1136 - Found 32 in RU42-XRU2012-1
